,objectid,sheet_code,cd_no,sheet_name,sheet_namt,edition,year,map250k,hotmap50k,hotmap250k,sheet_id,sheet_no,shape_length,shape_area,extent,geometry,zone,url
457,458,4939-III,10,Amphoe Ban Rai,อําเภอบ้านไร่,1-RTSD,2512,ND47-3,4939iii.img,ND47-3.img,459,49393,109019.748495091,742674765.100122,"99.49682431366655,15.001553090733262,99.74679673052363,15.251536723522191",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49393&bbox=99.49682431366655,15.001553090733262,99.74679673052363,15.251536723522191"
458,459,4939-II,10,Ban Nong Son,บ้านหนองโสน,1-RTSD,2512,ND47-3,4939ii.img,ND47-3.img,460,49392,109025.587467771,742754320.604049,"99.74679297442977,15.001556589738215,99.99676548924788,15.251540314560904",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49392&bbox=99.74679297442977,15.001556589738215,99.99676548924788,15.251540314560904"
459,460,5039-III,10,Changwat Chai Nat,จังหวัดชัยนาท,1-RTSD,2512,ND47-3,5039iii.img,ND47-3.img,461,50393,109033.373296902,742860408.484766,"99.99676169627358,15.001560122325174,100.24673430899037,15.25154393966927",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50393&bbox=99.99676169627358,15.001560122325174,100.24673430899037,15.25154393966927"
460,461,5039-II,10,Amphoe In Buri,อําเภออินทร์บุรี,2-RTSD,2512,ND47-3,5039ii.img,ND47-3.img,462,50392,109043.106924656,742993047.344344,"100.2467304795615,15.001563690158466,100.49670319183748,15.251547600153925",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50392&bbox=100.2467304795615,15.001563690158466,100.49670319183748,15.251547600153925"
461,462,5139-III,10,Amphoe Ban Mi,อําเภอบ้านหมี่,1-RTSD,2512,ND47-4,5139iii.img,ND47-4.img,463,51393,109054.78902617,743152253.357327,"100.4966993253598,15.001567292252865,100.74667213652214,15.251551295271902",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51393&bbox=100.4966993253598,15.001567292252865,100.74667213652214,15.251551295271902"
462,463,5139-II,10,Ban Paniad,บ้านเพนียด,2-RTSD,2512,ND47-4,5139ii.img,ND47-4.img,464,51392,109068.420615386,743338048.957151,"100.74666823419068,15.001570927694255,100.99664114465213,15.251555024016454",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51392&bbox=100.74666823419068,15.001570927694255,100.99664114465213,15.251555024016454"
463,464,5239-III,10,Amphoe Chai Badan,อําเภอชัยบาดาล,2-RTSD,2512,ND47-4,5239iii.img,ND47-4.img,465,52393,109084.003043195,743550462.549437,"100.99663720574439,15.001574597383044,101.24661021667389,15.25155878866792",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52393&bbox=100.99663720574439,15.001574597383044,101.24661021667389,15.25155878866792"
464,465,5239-II,10,Ban Wang Hin Ngom,บ้านวังหินงม,1-RTSD,2512,ND47-4,5239ii.img,ND47-4.img,466,52392,109101.537289086,743789518.825356,"101.24660624234521,15.001578301313545,101.49657935343822,15.251562586674604",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52392&bbox=101.24660624234521,15.001578301313545,101.49657935343822,15.251562586674604"
465,466,5339-III,10,Ban Hin Lad,บ้านหินลาด,1-RTSD,2512,ND47-4,5339iii.img,ND47-4.img,467,53393,109121.025078628,744055254.192702,"101.49657534299678,15.00158203942922,101.74654855588892,15.251566419597586",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53393&bbox=101.49657534299678,15.00158203942922,101.74654855588892,15.251566419597586"
466,467,5339-II,10,Amphoe Dan Khun Thot,อําเภอด่านขุนทด,1-RTSD,2512,ND47-4,5339ii.img,ND47-4.img,468,53392,109142.468066408,744347705.438719,"101.7465445087606,15.001585810677671,101.99651782386603,15.251570286755769",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53392&bbox=101.7465445087606,15.001585810677671,101.99651782386603,15.251570286755769"
467,468,5439-III,10,Amphoe Non Thai,อําเภอโนนไทย,1-RTSD,2512,ND48-1,5439iii.img,ND48-1.img,469,54393,109165.867945037,744666911.397171,"101.99651374053447,15.001589615687958,102.24648715764663,15.251574188789993",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54393&bbox=101.99651374053447,15.001589615687958,102.24648715764663,15.251574188789993"
468,469,5439-II,10,Amphoe Non Sung,อําเภอโนนสูง,2-RTSD,2527,ND48-1,5439ii.img,ND48-1.img,470,54392,109191.226839967,745012918.301291,"102.24648303879958,15.001593454893847,102.4964565594849,15.251578123985393",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54392&bbox=102.24648303879958,15.001593454893847,102.4964565594849,15.251578123985393"
469,470,5539-III,10,Ban Phutsa,บ้านพุทรา,2-RTSD,2527,ND48-1,5539iii.img,ND48-1.img,471,55393,109218.546721281,745385771.615732,"102.49645240420318,15.001597327546742,102.74642602869214,15.25158209361154",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55393&bbox=102.49645240420318,15.001597327546742,102.74642602869214,15.25158209361154"
470,471,5539-II,10,Amphoe Lum Plai Mat,อําเภอลําปลายมาศ,2-RTSD,2527,ND48-1,5539ii.img,ND48-1.img,472,55392,109247.830190094,745785526.961402,"102.74642183827372,15.001601233528335,102.99639556783777,15.251586097373368",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55392&bbox=102.74642183827372,15.001601233528335,102.99639556783777,15.251586097373368"
471,472,5639-III,10,Ban Dan,บ้านด่าน,3-RTSD,2527,ND48-1,5639iii.img,ND48-1.img,473,56393,109279.079082994,746212230.926243,"102.99639134119715,15.001605173188223,103.24636517500629,15.251590134217974",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A56393&bbox=102.99639134119715,15.001605173188223,103.24636517500629,15.251590134217974"
472,473,5639-II,10,Ban Nong Luang,บ้านหนองหลวง,3-RTSD,2527,ND48-1,5639ii.img,ND48-1.img,474,56392,109312.296978725,746665955.551519,"103.24636091338802,15.00160914649388,103.49633485369895,15.251594205828704",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A56392&bbox=103.24636091338802,15.00160914649388,103.49633485369895,15.251594205828704"
473,474,5739-III,10,Amphoe Chom Phra,อําเภอจอมพระ,3-RTSD,2527,ND48-2,5739iii.img,ND48-2.img,475,57393,109347.486088927,747146755.426504,"103.49633055712019,15.001613152780772,103.74630460419482,15.2515983103228",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A57393&bbox=103.49633055712019,15.001613152780772,103.74630460419482,15.2515983103228"
474,475,5739-II,10,Amphoe Samrong Than,อําเภอสําโรงทาน,5-RTSD,2527,ND48-2,5739ii.img,ND48-2.img,476,57392,109384.649967846,747654705.296245,"103.74630027145929,15.001617191720559,103.99627442788648,15.251602448309777",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A57392&bbox=103.74630027145929,15.001617191720559,103.99627442788648,15.251602448309777"
475,476,5839-III,10,Amphoe Uthumphon Phisai,อําเภออุทุมพรพิสัย,3-RTSD,2527,ND48-2,5839iii.img,ND48-2.img,477,58393,109423.791105756,748189866.574096,"103.99627006044626,15.001621263153302,104.2462443251429,15.251606620308507",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A58393&bbox=103.99627006044626,15.001621263153302,104.2462443251429,15.251606620308507"
476,477,5839-II,10,Changwat Si Sa Ket,จังหวัดศรีสะเกษ,2-RTSD,2518,ND48-2,5839ii.img,ND48-2.img,478,58392,109464.913419468,748752322.027798,"104.24623992253518,15.001625367935931,104.49621429771952,15.251610824611666",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A58392&bbox=104.24623992253518,15.001625367935931,104.49621429771952,15.251610824611666"
477,478,5939-III,10,Amphoe Kanthararom,อําเภอกันทรารมย์,3-RTSD,2517,ND48-2,5939iii.img,ND48-2.img,479,59393,109508.020082422,749342145.596324,"104.49620986137836,15.00162950508588,104.74618434850962,15.251615060974355",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A59393&bbox=104.49620986137836,15.00162950508588,104.74618434850962,15.251615060974355"
478,479,5939-II,10,Changwat Ubon Ratchathani,จังหวัดอุบลราชธานี,3-RTSD,2517,ND48-2,5939ii.img,ND48-2.img,480,59392,109553.114911767,749959421.583583,"104.74617987726025,15.001633674377464,104.99615447846293,15.251619331276348",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A59392&bbox=104.74617987726025,15.001633674377464,104.99615447846293,15.251619331276348"
479,480,6039-III,10,Amphoe Phibun Mangsahan,อําเภอพิบูลมังสาหาร,4-RTSD,2528,ND48-3,6039iii.img,ND48-3.img,481,60393,109600.202125353,750604241.423335,"104.99614997239235,15.001637876304237,105.24612468990433,15.251623633106332",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A60393&bbox=104.99614997239235,15.001637876304237,105.24612468990433,15.251623633106332"
480,481,6039-II,10,Chong Mek,ช่องเม็ก,4-RTSD,2517,ND48-3,6039ii.img,ND48-3.img,482,60392,109649.285215804,751276688.076391,"105.24612015043128,15.001642109181967,105.4960949844682,15.251627966071483",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A60392&bbox=105.24612015043128,15.001642109181967,105.4960949844682,15.251627966071483"
481,482,6139-III,10,Phu Yai,ภูใหญ่,2-RTSD,2528,ND48-3,6139iii.img,ND48-3.img,483,61393,109700.36901788,751976864.705823,"105.49609041171257,15.001646372678488,105.7460653664911,15.251632330570901",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A61393&bbox=105.49609041171257,15.001646372678488,105.7460653664911,15.251632330570901"
482,483,4638-IV,11,Yapu,_,1-RTSD,2512,ND47-6,4638iv.img,ND47-6.img,484,46384,109086.88261111,743602248.816346,"97.99701709513216,14.751552998056832,98.24698890915609,15.001536113464928",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46384&bbox=97.99701709513216,14.751552998056832,98.24698890915609,15.001536113464928"
483,484,4638-I,11,Ban Pi  Log Ki,บ้านปิล๊อกคี่,2-RTSD,2523,ND47-6,4638i.img,ND47-6.img,485,46381,109081.026597184,743522414.847124,"98.24698543997908,14.751556236365175,98.4969573468979,15.001539439675906",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46381&bbox=98.24698543997908,14.751556236365175,98.4969573468979,15.001539439675906"
484,485,4738-IV,11,Ban Tha Madua,บ้านท่ามะเดื่อ,2-RTSD,2523,ND47-6,4738iv.img,ND47-6.img,486,47384,109077.122877569,743469198.587702,"98.49695384148873,14.751559507896879,98.74692584348507,15.001542799961046",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47384&bbox=98.49695384148873,14.751559507896879,98.74692584348507,15.001542799961046"
485,486,4738-I,11,Kao Bo Ngam,เขาบ่องาม,2-RTSD,2523,ND47-6,4738i.img,ND47-6.img,487,47381,109075.170884895,743442589.313911,"98.74692230104893,14.751562814731916,98.99689439768291,15.001546196347926",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47381&bbox=98.74692230104893,14.751562814731916,98.99689439768291,15.001546196347926"
486,487,4838-IV,11,Ban Pung,บ้านพุง,1-RTSD,2512,ND47-7,4838iv.img,ND47-7.img,488,48384,109075.170884893,743442589.313886,"98.99689081878229,14.751566154829327,99.24686301133998,15.001549625552482",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48384&bbox=98.99689081878229,14.751566154829327,99.24686301133998,15.001549625552482"
487,488,4838-I,11,Ko Phu Tei,เขาพุเตย,1-RTSD,2512,ND47-7,4838i.img,ND47-7.img,489,48381,109077.122577346,743469194.438073,"99.24685939604178,14.751569529277724,99.49683168444567,15.001553090733262",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48381&bbox=99.24685939604178,14.751569529277724,99.49683168444567,15.001553090733262"
488,489,4938-IV,11,Ban Na Tapip,บ้านนาตาปิป,1-RTSD,2512,ND47-7,4938iv.img,ND47-7.img,490,49384,109081.026196626,743522409.309582,"99.49682803324909,14.751572936867062,99.74680041762018,15.001556589738215",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49384&bbox=99.49682803324909,14.751572936867062,99.74680041762018,15.001556589738215"
489,490,4938-I,11,Ban Nong Krathum,บ้านหนองกระทุ่ม,1-RTSD,2512,ND47-7,4938i.img,ND47-7.img,491,49381,109086.882010331,743602240.510359,"99.74679673052363,14.75157637951281,99.99676921179673,15.001560122325174",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49381&bbox=99.74679673052363,14.75157637951281,99.99676921179673,15.001560122325174"
490,491,5038-IV,11,Amphoe Doembang Nangbuat,อําเภอเดิมบางนาบวช,2-RTSD,2512,ND47-7,5038iv.img,ND47-7.img,492,50384,109094.690624067,743708700.488445,"99.99676548924788,14.751579855013553,100.2467380679364,15.001563690158466",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50384&bbox=99.99676548924788,14.751579855013553,100.2467380679364,15.001563690158466"
491,492,5038-I,11,Changwat Sing Buri,จังหวัดสิงห์บุรี,2-RTSD,2517,ND47-7,5038i.img,ND47-7.img,493,50381,109104.452773665,743841805.036853,"100.24673430899037,14.751583364271115,100.49670698578926,15.001567292252865",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50381&bbox=100.24673430899037,14.751583364271115,100.49670698578926,15.001567292252865"
492,493,5138-IV,11,Changwat Lop Buri,จังหวัดลพบุรี,1-RTSD,2512,ND47-8,5138iv.img,ND47-8.img,494,51384,109116.168930081,744001567.705649,"100.49670319183748,14.751586907664308,100.74667596636786,15.001570927694255",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51384&bbox=100.49670319183748,14.751586907664308,100.74667596636786,15.001570927694255"
493,494,5138-I,11,Amphoe Phattana Nikhom,อําเภอพัฒนานิคม,1-RTSD,2512,ND47-8,5138i.img,ND47-8.img,495,51381,109129.840404277,744188015.020287,"100.74667213652214,14.751590484110482,100.99664501073931,15.001574597383044",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51381&bbox=100.74667213652214,14.751590484110482,100.99664501073931,15.001574597383044"
494,495,5238-IV,11,Ban Khok Salung,บ้านโคกสลุง,1-RTSD,2512,ND47-8,5238iv.img,ND47-8.img,496,52384,109145.468234258,744401171.087665,"100.99664114465213,14.751594094657122,101.2466141187589,15.001578301313545",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52384&bbox=100.99664114465213,14.751594094657122,101.2466141187589,15.001578301313545"
495,496,5238-I,11,Ban Sap Muang,บ้านซับม่วง,2-RTSD,2525,ND47-8,5238i.img,ND47-8.img,497,52381,109163.053896778,744641067.521448,"101.24661021667389,14.751597737942094,101.4965832906614,15.00158203942922",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52381&bbox=101.24661021667389,14.751597737942094,101.4965832906614,15.00158203942922"
496,497,5338-IV,11,Amphoe Sikhiu,อําเภอสีคิ้ว,1-RTSD,2512,ND47-8,5338iv.img,ND47-8.img,498,53384,109182.598901443,744907737.90625,"101.49657935343822,14.751601414663925,101.74655252859036,15.001585810677671",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53384&bbox=101.49657935343822,14.751601414663925,101.74655252859036,15.001585810677671"
497,498,5338-I,11,Amphoe Sung Neon,อําเภอสูงเนิน,1-RTSD,2512,ND47-8,5338i.img,ND47-8.img,499,53381,109204.104397014,745201212.205714,"101.74654855588892,14.751605124807666,101.99652183166052,15.001589615687958",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53381&bbox=101.74654855588892,14.751605124807666,101.99652183166052,15.001589615687958"
498,499,5438-IV,11,Changwat Nakhon Ratchasima,จังหวัดนครราชสีมา,1-RTSD,2512,ND48-5,5438iv.img,ND48-5.img,500,54384,109227.572664166,745521537.382143,"101.99651782386603,14.751608868554204,102.24649120120924,15.001593454893847",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54384&bbox=101.99651782386603,14.751608868554204,102.24649120120924,15.001593454893847"
499,500,5438-I,11,Ban Salapi,บ้านสารภี,2-RTSD,2527,ND48-5,5438i.img,ND48-5.img,501,54381,109253.005916362,745868760.935108,"102.24648715764663,14.751612645266833,102.49646063771598,15.001597327546742",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54381&bbox=102.24648715764663,14.751612645266833,102.49646063771598,15.001597327546742"
500,501,5538-IV,11,Amphoe Huai Thalang,อําเภอห้วยแถลง,2-RTSD,2527,ND48-5,5538iv.img,ND48-5.img,502,55384,109280.40590979,746242925.568964,"102.4964565594849,14.75161645437139,102.74643014238237,15.001601233528335",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55384&bbox=102.4964565594849,14.75161645437139,102.74643014238237,15.001601233528335"
501,502,5538-I,11,Ban Kwang Ngoi,บ้านกวางงอย,3-RTSD,2527,ND48-5,5538i.img,ND48-5.img,503,55381,109309.77522959,746644086.868407,"102.74642602869214,14.751620297076961,102.99639971584192,15.001605173188223",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55381&bbox=102.74642602869214,14.751620297076961,102.99639971584192,15.001605173188223"
